Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
nonb_021_nb,False Positive,12267,1.2402,0.4906,1.188,1.236,0.0481,1.7e-05,1.5617,0.5237,1.4944,2.1349,0.6405,0.001494,2.7186,1.1181,2.2014,3.4179,1.2165,0.003466,1.413,0.3478,1.406,1.4684,0.0624,0.000247,1.5812,0.2276,1.4408,1.7374,0.2966,0.000693
nonb_023_nb,False Positive,12267,2.3002,1.3255,3.217,1.2598,-1.9572,-0.006592,1.8084,0.5153,1.8936,1.5779,-0.3157,-0.000697,2.4841,0.968,2.2255,2.5258,0.3003,0.000473,1.3809,0.3311,1.4338,1.1727,-0.2611,-0.000786,1.8186,0.251,1.6222,1.9458,0.3237,0.001018
nonb_011_nb,False Positive,12267,2.2069,0.9379,3.1423,1.6084,-1.5338,-0.004678,2.7531,0.5665,3.0019,2.6958,-0.3061,-0.001221,3.4846,2.1281,1.8748,4.9674,3.0926,0.011486,3.2734,1.0457,2.289,4.0603,1.7712,0.006162,1.8393,0.2475,1.6833,2.0108,0.3274,0.001061
nonb_026_nb,False Positive,12267,1.9334,0.6976,1.675,1.7429,0.0679,0.000905,1.3443,0.3186,1.4996,1.3117,-0.1878,-0.000504,2.6724,0.8793,2.325,2.87,0.545,0.001805,1.3628,0.2792,1.389,1.2687,-0.1204,-0.000504,1.5688,0.1668,1.5685,1.4818,-0.0867,-0.000206
nonb_088_nb,False Positive,12267,3.6103,0.7835,2.7928,3.6904,0.8976,0.00219,3.8845,1.007,2.9525,4.2657,1.3131,0.003603,3.7572,1.227,2.5599,4.8143,2.2544,0.006927,2.0911,0.5248,1.6429,2.3451,0.7022,0.001782,2.2363,0.335,1.9021,2.421,0.519,0.001357
nonb_082_nb,False Positive,12267,1.8784,0.7927,1.8544,2.5295,0.6751,0.001481,1.5275,0.4919,1.9042,1.6382,-0.266,-0.000589,3.2952,1.5123,2.9601,2.3629,-0.5973,-0.001098,1.9399,0.4512,2.1282,1.7071,-0.4211,-0.000885,1.6898,0.2041,1.8605,1.5717,-0.2888,-0.000881
nonb_075_nb,False Positive,12267,1.8744,0.9903,2.6926,1.6577,-1.0348,-0.002754,1.869,0.4247,1.7902,1.9597,0.1695,0.000275,3.5054,0.7346,3.5835,3.6858,0.1022,9e-06,1.5844,0.2471,1.7455,1.5554,-0.19,-0.000413,2.0633,0.2404,1.9356,2.2447,0.309,0.000802
nonb_024_nb,False Positive,12267,2.5518,0.7324,1.9496,3.1108,1.1612,0.003157,2.6355,0.8468,1.9536,3.2143,1.2607,0.00385,2.8693,0.7963,3.2538,2.6214,-0.6324,-0.001314,1.5331,0.3784,1.6517,1.474,-0.1777,-0.000336,1.7529,0.2206,1.5965,1.7481,0.1516,0.000436
nonb_047_nb,False Positive,12267,1.2992,0.451,1.1659,1.4421,0.2763,0.00077,1.5745,0.3983,1.4775,1.6713,0.1937,0.000309,2.3013,0.9136,2.496,1.8397,-0.6563,-0.002282,1.44,0.3435,1.5079,1.4701,-0.0378,-0.000241,1.4857,0.1627,1.4317,1.5349,0.1033,0.000306
nonb_018_nb,False Positive,12267,1.794,0.6634,1.8415,1.7705,-0.071,-0.000467,1.9192,0.4274,1.9247,2.024,0.0993,0.000126,2.4154,1.0181,1.9549,3.0451,1.0901,0.0031,1.2893,0.3533,0.9954,1.5519,0.5565,0.001339,1.9284,0.4159,1.4165,2.2528,0.8363,0.00248
nonb_019_nb,False Positive,12267,2.5106,0.8102,2.0867,2.9678,0.8811,0.002126,2.8172,0.617,2.209,2.9557,0.7467,0.001978,2.5176,0.9195,2.2073,2.331,0.1238,0.00103,1.6927,0.4434,1.4168,2.0116,0.5948,0.001418,2.6365,0.2221,2.3412,2.7564,0.4152,0.001101
