Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
pair_0876_nb,False Positive,5600,1.893,0.5164,1.8018,1.9397,0.1379,0.002443,3.311,0.8866,2.9549,3.6146,0.6597,0.006875,2.2735,0.5308,2.036,2.5001,0.4642,0.003202,1.1146,0.3189,0.9981,1.1946,0.1964,0.001863,2.0813,0.3124,1.8264,2.3009,0.4745,0.004032
pair_0878_nb,False Positive,5600,3.1304,0.6337,2.9553,3.2442,0.2889,0.003246,1.9354,0.6891,1.9105,1.8515,-0.059,-0.000637,1.9348,0.7997,1.848,2.0936,0.2457,0.00084,1.7093,0.386,1.8121,1.6429,-0.1692,-0.00157,1.4948,0.1599,1.4463,1.535,0.0886,0.000846
pair_0883_nb,False Positive,5600,2.318,0.692,1.8262,2.7496,0.9235,0.006977,3.0734,1.1765,2.0408,4.0098,1.969,0.014719,2.6264,0.6585,2.7888,2.5069,-0.2819,-0.001415,1.816,0.5816,2.215,1.4326,-0.7824,-0.005802,1.6452,0.1939,1.5503,1.724,0.1736,0.001245
pair_0891_nb,False Positive,5600,4.088,1.0285,4.8991,3.2527,-1.6464,-0.013941,2.3634,0.6052,2.1674,2.5438,0.3763,0.003876,2.2946,0.6887,2.5838,2.0435,-0.5403,-0.002522,1.504,0.3304,1.5414,1.4786,-0.0628,0.000423,1.7987,0.1738,1.8367,1.7604,-0.0763,-0.000157
pair_0908_nb,False Positive,5600,2.4234,0.308,2.519,2.335,-0.1839,-0.001646,3.5811,0.3645,3.6645,3.5049,-0.1595,-0.002034,2.1824,0.8612,2.5467,1.8574,-0.6893,-0.00528,1.0144,0.251,1.0436,0.9827,-0.0609,-0.000235,1.6525,0.1709,1.5456,1.7492,0.2036,0.001608
pair_0932_nb,False Positive,5600,1.7145,0.5588,1.8975,1.5524,-0.3451,-0.002702,2.0389,0.6057,2.3644,1.7538,-0.6107,-0.006093,2.5799,0.9261,2.8233,2.3997,-0.4236,-0.001348,1.8301,0.5637,1.889,1.8027,-0.0863,0.000737,1.6793,0.1577,1.7164,1.656,-0.0604,-0.00039
pair_0940_nb,False Positive,5600,1.8004,0.5056,1.8986,1.746,-0.1526,-0.001587,3.1683,0.4136,3.0244,3.3173,0.293,0.003178,2.4699,0.7011,2.4063,2.5902,0.1838,0.000908,2.0071,0.4133,1.9735,1.9987,0.0252,-0.000166,1.8425,0.1669,1.7512,1.9184,0.1671,0.001186
pair_0974_nb,False Positive,5600,3.7864,0.5917,3.6914,3.895,0.2036,-0.000403,3.105,1.2547,4.1201,2.0232,-2.0969,-0.017836,1.8926,0.6389,1.9897,1.7319,-0.2578,-0.001006,1.8015,0.2639,1.8033,1.8022,-0.001,-0.000605,1.8506,0.1789,1.9106,1.7777,-0.133,-0.001263
pair_0977_nb,False Positive,5600,3.1102,0.7221,2.941,3.291,0.35,0.002552,3.9273,1.0655,3.3884,4.4585,1.0701,0.011,2.9086,0.7109,2.7549,3.0663,0.3114,0.002397,1.8165,0.3449,1.8565,1.76,-0.0965,-0.000881,2.2965,0.1914,2.2104,2.3923,0.1818,0.001818
pair_1011_nb,False Positive,5600,1.3134,0.3656,1.2045,1.4284,0.2239,0.001741,1.2028,0.2648,1.3136,1.092,-0.2217,-0.001764,2.1023,0.5814,2.0666,2.1557,0.0891,0.001917,1.8472,0.4405,1.5802,2.1185,0.5383,0.004237,1.3873,0.1536,1.3039,1.4551,0.1512,0.001456
pair_1023_nb,False Positive,5600,1.3739,0.3966,1.4516,1.3117,-0.14,-0.000789,3.681,0.8464,4.0998,3.2957,-0.8041,-0.005777,2.0255,1.0042,2.5318,1.5774,-0.9544,-0.007936,1.2683,0.3567,1.462,1.0979,-0.3641,-0.003209,1.578,0.1714,1.6687,1.4921,-0.1766,-0.001456
pair_1102_nb,False Positive,5600,2.8658,0.5686,2.595,3.125,0.53,0.004393,3.807,0.838,3.4493,4.2135,0.7642,0.006935,3.4489,0.9113,2.788,4.0884,1.3003,0.010464,1.8108,0.3636,1.6421,1.9703,0.3282,0.003087,2.0169,0.244,1.8552,2.1569,0.3017,0.002788
pair_1313_nb,False Positive,5600,2.0414,0.5868,1.985,2.0584,0.0733,-0.001699,1.4206,0.377,1.3886,1.4451,0.0565,-0.000598,2.4856,0.8822,2.1105,2.9289,0.8184,0.006491,1.7913,0.4676,1.5765,1.9793,0.4028,0.003252,1.9286,0.2501,1.7349,2.1208,0.3859,0.002743
pair_1397_nb,False Positive,5600,1.7662,0.4863,1.5673,1.9639,0.3966,0.003007,1.94,0.6574,2.2607,1.6488,-0.6119,-0.006283,1.7579,0.583,1.8935,1.6634,-0.2301,-0.002016,0.9269,0.2536,0.977,0.8845,-0.0925,-0.000702,1.671,0.1749,1.5643,1.7819,0.2176,0.00177
pair_1654_nb,False Positive,5600,1.1657,0.4032,1.0377,1.3125,0.2747,0.00214,1.7571,0.4077,1.8186,1.7037,-0.1149,-0.001326,2.5185,0.877,2.187,2.9319,0.7449,0.006528,1.4707,0.4628,1.2121,1.7675,0.5553,0.004213,1.4951,0.23,1.356,1.6416,0.2856,0.002222
pair_1656_nb,False Positive,5600,1.7287,0.4514,1.7989,1.6873,-0.1115,-0.000894,1.5208,0.3121,1.4433,1.6209,0.1776,0.001892,1.7688,0.5187,1.7907,1.7708,-0.0199,-0.001223,1.0056,0.2694,1.0545,0.9765,-0.078,-0.000752,1.7984,0.1647,1.791,1.808,0.0171,0.000259
pair_1658_nb,False Positive,5600,1.8639,0.7321,1.9983,1.6679,-0.3305,-0.002692,1.957,0.5225,2.0431,1.834,-0.2091,-0.001458,1.9615,0.7475,2.0028,1.9435,-0.0593,0.000158,1.1964,0.2863,1.1942,1.1708,-0.0233,0.000426,1.4104,0.235,1.413,1.3729,-0.0401,0.000471
pair_1671_nb,False Positive,5600,2.1612,0.6178,2.0104,2.2961,0.2857,0.000292,2.5861,1.2464,1.5218,3.6782,2.1564,0.018365,3.1043,1.1282,3.2505,3.0329,-0.2175,-0.003402,1.4819,0.4773,1.804,1.1736,-0.6304,-0.004851,1.6557,0.1646,1.6546,1.6556,0.0011,7.1e-05
pair_1679_nb,False Positive,5600,2.2874,0.8144,2.3533,2.1995,-0.1538,-0.000207,3.7831,0.6796,3.6346,3.9549,0.3202,0.002855,2.9862,0.7699,3.308,2.6871,-0.6209,-0.00549,1.462,0.298,1.448,1.4601,0.012,0.000456,1.9788,0.2029,2.0568,1.91,-0.1468,-0.000812
pair_1709_nb,False Positive,5600,1.2465,0.3936,1.2636,1.2497,-0.0139,1.2e-05,2.8246,1.3069,1.906,3.8759,1.9699,0.016615,2.5261,0.8588,1.9063,3.1388,1.2325,0.010188,1.4483,0.453,1.7733,1.1108,-0.6625,-0.005639,1.7785,0.177,1.6738,1.8796,0.2058,0.001754
pair_1710_nb,False Positive,5600,2.6232,0.6707,2.263,3.0078,0.7448,0.005609,1.4085,0.41,1.4341,1.4037,-0.0303,-0.000714,2.5589,0.9542,1.9863,3.0302,1.0439,0.0068,1.5425,0.3762,1.3529,1.7078,0.3549,0.003224,2.1638,0.3524,1.8796,2.4292,0.5496,0.004819
pair_1737_nb,False Positive,5600,1.7062,0.4016,1.5097,1.8694,0.3597,0.003342,1.5785,0.4093,1.4325,1.7265,0.294,0.002909,2.5143,1.0206,2.6875,2.3977,-0.2898,-0.002466,1.2031,0.3016,1.2269,1.1676,-0.0593,-4.8e-05,1.5071,0.1172,1.5182,1.5007,-0.0176,-0.000218
pair_1758_nb,False Positive,5600,2.4957,0.6014,2.5799,2.3926,-0.1872,-0.002242,1.4027,0.3951,1.4936,1.3407,-0.1529,-0.001089,2.6704,1.1821,2.5805,2.7986,0.2181,0.004069,1.6144,0.4631,1.7193,1.5255,-0.1938,-0.002629,1.435,0.1735,1.4441,1.4224,-0.0217,0.000173
pair_1784_nb,False Positive,5600,1.9352,0.5163,2.093,1.7708,-0.3222,-0.003785,2.3313,0.6925,1.787,2.8987,1.1117,0.009054,1.8553,0.6171,1.7951,1.8884,0.0934,0.001604,1.8651,0.2416,1.8619,1.8695,0.0076,0.000427,1.8821,0.2507,1.6915,2.09,0.3985,0.002683
pair_1785_nb,False Positive,5600,1.6091,0.5816,1.4316,1.7556,0.324,0.003287,1.5093,0.4513,1.6603,1.3746,-0.2858,-0.001551,2.9723,1.6019,1.9803,3.9475,1.9673,0.012345,1.5324,0.6063,1.1608,1.8945,0.7337,0.004604,2.0117,0.2771,1.8249,2.178,0.3531,0.002791
pair_1792_nb,False Positive,5600,3.1609,0.9752,2.8,3.4871,0.6872,0.006907,2.6434,0.711,3.0826,2.2301,-0.8525,-0.006777,2.8476,0.8693,3.1142,2.58,-0.5341,-0.003778,1.5902,0.2914,1.5998,1.5737,-0.0261,0.000316,2.0547,0.1964,2.014,2.0862,0.0722,0.000844
pair_1835_nb,False Positive,5600,1.369,0.3416,1.4308,1.3183,-0.1125,-0.001483,4.0938,0.4989,4.215,3.9964,-0.2186,-0.001508,4.5805,0.7717,4.7882,4.3917,-0.3965,-0.003933,2.0587,0.313,2.0832,2.0547,-0.0286,-0.000428,2.1928,0.146,2.1818,2.2092,0.0274,-0.000196
pair_1847_nb,False Positive,5600,2.2589,0.9738,2.9067,1.4832,-1.4234,-0.011394,3.3636,1.1477,2.4888,4.1996,1.7108,0.016451,2.8268,0.8873,2.3178,3.296,0.9782,0.00871,1.9168,0.4608,1.6194,2.2588,0.6394,0.005236,1.9164,0.1571,1.885,1.9339,0.0488,0.00091
pair_1914_nb,False Positive,5600,2.4851,0.6009,2.199,2.7927,0.5937,0.005309,1.5234,0.2478,1.4893,1.5606,0.0713,0.000811,2.1184,0.8198,2.0381,2.2468,0.2087,0.001065,1.547,0.3209,1.4057,1.7034,0.2977,0.002158,1.7192,0.1945,1.6533,1.8006,0.1473,0.001286
pair_1922_nb,False Positive,5600,2.1401,0.4276,2.0227,2.219,0.1962,0.001056,2.6421,0.3162,2.6337,2.6293,-0.0044,-0.000105,2.4843,0.7455,2.621,2.3676,-0.2534,-0.002304,1.6429,0.3289,1.4804,1.8191,0.3387,0.003106,1.6991,0.2278,1.8165,1.5933,-0.2233,-0.002245
pair_1938_nb,False Positive,5600,2.3699,0.3155,2.4019,2.3233,-0.0787,-0.000307,1.6209,0.299,1.6712,1.5868,-0.0844,-0.000908,2.0865,0.6774,1.9925,2.1116,0.1192,-0.000443,1.381,0.4465,1.4505,1.2642,-0.1863,-0.002309,1.7026,0.2637,1.6666,1.7176,0.051,-0.000107
pair_1961_nb,False Positive,5600,1.6529,0.4712,1.6735,1.6131,-0.0603,-0.000145,2.3571,0.8614,1.9716,2.7442,0.7726,0.007042,2.203,0.7619,2.2309,2.1867,-0.0441,0.001006,1.1194,0.2741,1.134,1.1139,-0.0201,0.000215,2.1768,0.3212,1.969,2.3842,0.4152,0.004334
pair_0008_low_pkt,Low Confidence,5600,2.3211,0.5343,2.0507,2.5923,0.5416,0.003512,2.6734,0.3567,2.6543,2.6952,0.0409,0.000664,2.8488,0.731,2.4937,3.1927,0.699,0.007104,2.28,0.5238,1.9316,2.602,0.6704,0.006197,1.6801,0.175,1.5831,1.7685,0.1853,0.001536
pair_0393_low_pkt,Low Confidence,5600,1.9546,0.4838,2.0764,1.8321,-0.2443,-0.001473,2.9442,0.6113,2.5117,3.3879,0.8761,0.00822,6.6902,0.3679,6.5663,6.7801,0.2137,0.00148,2.4985,0.2546,2.5254,2.4744,-0.051,-0.000563,2.2897,0.1663,2.1967,2.3652,0.1685,0.001324
pair_0482_low_pkt,Low Confidence,5600,1.8554,0.8198,2.3123,1.336,-0.9763,-0.00513,4.0876,0.9868,3.5706,4.6308,1.0602,0.006988,2.9645,0.7449,2.5457,3.4346,0.8888,0.006845,1.3531,0.3048,1.4182,1.2606,-0.1576,-0.000538,2.2536,0.3129,2.1259,2.3657,0.2398,0.003446
pair_0482_nb,False Positive,5600,3.9736,0.869,4.1505,3.8029,-0.3476,-0.002571,3.614,0.7165,3.4754,3.6724,0.1971,0.003664,3.3565,1.0696,3.6948,2.8707,-0.8241,-0.003429,1.8326,0.3433,1.8037,1.8482,0.0445,0.000344,2.2754,0.1758,2.2751,2.2485,-0.0266,-0.000137
pair_1331_low_pkt,Low Confidence,5600,1.8415,0.838,1.3246,2.4264,1.1018,0.009824,5.0226,1.2422,4.3708,5.7516,1.3808,0.013445,2.7135,0.9679,2.9211,2.5896,-0.3315,-0.003256,1.8236,0.64,2.1618,1.5516,-0.6102,-0.005029,2.1602,0.201,2.1453,2.1982,0.053,0.000739
pair_1931_low_pkt,Low Confidence,5600,1.9624,0.6229,2.29,1.6402,-0.6498,-0.006405,4.9383,0.5389,5.2035,4.6528,-0.5507,-0.004917,2.3715,0.5955,2.3682,2.3323,-0.0358,0.000427,1.9922,0.3889,2.0534,1.8898,-0.1636,-0.001022,1.8521,0.1643,1.9132,1.7938,-0.1193,-0.00098
pair_0065_low_pkt,Low Confidence,5600,1.998,0.7476,1.5771,2.4387,0.8616,0.008496,1.5415,0.4686,1.5078,1.5999,0.0921,0.000246,2.7218,0.8954,2.9206,2.5107,-0.4099,-0.003861,2.1868,0.7381,2.005,2.4089,0.4039,0.004936,1.9606,0.2834,2.0192,1.9195,-0.0997,-0.000514
pair_0947_low_pkt,Low Confidence,5600,1.9047,0.6286,1.5849,2.2798,0.6949,0.005779,1.7745,0.4803,1.9648,1.5752,-0.3895,-0.003062,2.1189,0.7008,2.326,1.9426,-0.3834,-0.002686,1.4275,0.4196,1.183,1.7105,0.5275,0.004151,1.6569,0.2323,1.556,1.7402,0.1843,0.001824
pair_0948_low_pkt,Low Confidence,5600,1.742,0.5688,1.8487,1.5861,-0.2626,-0.000138,2.5268,0.6471,2.4603,2.643,0.1826,0.002832,2.6472,0.6099,2.7624,2.5231,-0.2393,-0.001163,1.3454,0.284,1.3782,1.2872,-0.091,-0.000442,1.9654,0.2844,1.8649,2.0386,0.1738,0.002633
pair_1413_low_pkt,Low Confidence,5600,1.8775,0.7088,2.103,1.7078,-0.3953,-0.004532,4.1159,1.0838,3.8063,4.2926,0.4863,0.005405,2.4147,0.9059,2.5949,2.2087,-0.3862,-0.001747,1.8937,0.4301,1.7737,1.9827,0.209,0.00209,1.86,0.2806,1.6816,2.0441,0.3625,0.003157
pair_0715_fail_gate,Fail Geometry,5600,2.7603,0.5764,2.6857,2.8239,0.1382,0.001149,2.4735,0.5875,2.422,2.5409,0.1189,0.001917,1.8288,0.5866,1.7931,1.841,0.0479,-0.000641,1.2021,0.3282,1.0822,1.3352,0.253,0.001756,1.5564,0.1329,1.523,1.5951,0.0722,0.000661
pair_1094_fail_gate,Fail Geometry,5600,2.0113,0.69,2.0222,1.9492,-0.073,0.001614,1.8143,0.3796,1.6744,1.9572,0.2828,0.002537,2.5728,0.9124,2.4935,2.6639,0.1704,-0.000621,2.1022,0.2432,2.1298,2.0674,-0.0624,-0.000939,1.6495,0.2097,1.5266,1.7783,0.2517,0.002244
pair_1682_fail_gate,Fail Geometry,5600,2.2562,0.7043,1.7861,2.7551,0.969,0.007612,2.1236,0.4703,2.1039,2.1313,0.0274,0.002045,3.4518,1.2249,3.2212,3.661,0.4398,0.004377,1.3718,0.2972,1.3352,1.4281,0.0929,0.000795,1.6467,0.3039,1.457,1.8254,0.3683,0.003665
pair_1739_fail_gate,Fail Geometry,5600,3.248,0.6767,3.4723,3.0378,-0.4345,-0.002558,1.9835,0.3747,2.0437,1.9244,-0.1193,-0.000852,2.5858,1.1923,2.475,2.7268,0.2518,0.003431,1.7429,0.542,1.4322,2.013,0.5809,0.005465,2.7002,0.2566,2.5582,2.8335,0.2752,0.002663
pair_1941_fail_gate,Fail Geometry,5600,2.731,0.4861,2.7059,2.7799,0.0741,0.001036,1.1771,0.3114,1.1279,1.2166,0.0887,6.6e-05,1.8093,0.7532,1.7945,1.8327,0.0381,-0.00045,1.1324,0.2696,1.0442,1.1955,0.1514,0.000686,1.9849,0.1594,1.9864,1.9744,-0.012,0.000141
pair_0014_fail_gate,Fail Geometry,5600,3.3487,0.9726,2.5587,4.1684,1.6097,0.011973,2.5284,0.8701,1.8057,3.2551,1.4495,0.01167,4.1888,1.2057,4.1653,4.1322,-0.0332,-0.001586,1.9774,0.3473,2.1613,1.7925,-0.3689,-0.003178,2.1772,0.2325,2.1434,2.2214,0.078,3.9e-05
pair_0263_fail_gate,Fail Geometry,5600,2.2688,0.5854,2.0975,2.4541,0.3567,0.00399,3.197,0.8589,2.7757,3.5843,0.8085,0.009335,2.4904,0.8725,2.2524,2.7372,0.4848,0.005079,1.7661,0.3416,1.6783,1.8444,0.1661,0.001816,1.8362,0.1907,1.7499,1.9107,0.1608,0.001796
pair_0540_fail_gate,Fail Geometry,5600,2.0935,0.4125,1.9125,2.2834,0.3709,0.002216,1.8591,0.414,1.6195,2.1222,0.5028,0.003948,2.1252,0.5987,1.964,2.2929,0.3289,0.0022,1.9041,0.2564,1.938,1.8625,-0.0755,-0.000389,1.6284,0.2037,1.5105,1.7575,0.247,0.002104
pair_0997_fail_gate,Fail Geometry,5600,1.9243,0.6089,1.7848,2.0829,0.298,0.00161,1.7909,1.0551,1.1959,2.4431,1.2473,0.01278,2.2182,0.867,2.1648,2.2713,0.1065,0.000223,1.3604,0.3542,1.358,1.3302,-0.0278,-0.000132,1.5944,0.2068,1.5125,1.676,0.1635,0.001292
pair_1745_fail_gate,Fail Geometry,5600,1.3072,0.3085,1.306,1.2986,-0.0075,-0.000424,1.2243,0.3467,1.2033,1.2015,-0.0018,-3.7e-05,1.9727,0.7944,1.8808,2.0602,0.1794,0.002916,1.8236,0.2405,1.8109,1.8441,0.0331,0.000283,1.646,0.1586,1.682,1.6088,-0.0732,-0.000748
bind_019_binder,Binder,5600,2.0536,0.6274,1.9437,2.123,0.1793,0.002381,1.5047,0.5536,1.7255,1.3149,-0.4106,-0.003235,2.613,0.8075,2.8678,2.3672,-0.5007,-0.003541,1.4962,0.3814,1.5973,1.4019,-0.1953,-0.000889,1.805,0.2253,1.742,1.8771,0.1351,0.001473
bind_020_binder,Binder,5600,1.6519,0.5484,1.6678,1.6061,-0.0617,-0.001731,2.8551,0.7307,2.798,2.8891,0.0911,0.003112,3.2299,1.759,3.9589,2.4972,-1.4618,-0.016637,1.4962,0.6427,1.6698,1.3085,-0.3613,-0.005288,1.868,0.1947,1.9131,1.8148,-0.0982,-0.000876
bind_022_binder,Binder,5600,1.7996,0.5391,1.6266,1.9646,0.338,0.002232,2.5793,0.5631,2.6344,2.4989,-0.1355,-0.001731,4.2262,0.9566,3.6898,4.795,1.1052,0.007319,1.9116,0.4117,1.8245,2.0189,0.1944,0.000696,1.7613,0.2986,1.5612,1.9867,0.4255,0.003531
bind_034_binder,Binder,5600,1.5759,0.4042,1.4397,1.707,0.2673,0.001905,1.4642,0.7617,2.0005,0.9282,-1.0723,-0.008417,2.1266,0.6576,2.1752,1.9928,-0.1824,-0.002658,1.5563,0.3155,1.7185,1.4034,-0.3152,-0.00242,1.3762,0.1435,1.3578,1.392,0.0342,3.6e-05
bind_041_binder,Binder,5600,1.8779,0.9555,2.5849,1.1939,-1.391,-0.010976,2.6549,1.0239,2.3629,3.0688,0.7059,0.004423,2.4543,0.9278,2.4165,2.4273,0.0107,-0.001457,1.4302,0.5611,1.8385,1.0325,-0.806,-0.006667,2.0978,0.1823,2.1612,2.0442,-0.117,-0.001225
bind_043_binder,Binder,5600,1.2287,0.4518,1.0634,1.3261,0.2627,0.001793,1.2581,0.2496,1.1988,1.3087,0.1099,0.000864,2.2509,0.8809,1.8707,2.6059,0.7352,0.006283,1.7937,0.4248,1.4867,2.0943,0.6076,0.005133,1.4912,0.2399,1.2936,1.6753,0.3817,0.002825
bind_069_binder,Binder,5600,1.3643,0.3715,1.3598,1.3772,0.0174,0.000367,2.1117,0.6443,1.9069,2.4014,0.4945,0.004002,2.5189,0.8344,2.4643,2.5503,0.0859,0.000977,2.4256,0.3232,2.4243,2.4202,-0.0041,-0.000232,1.707,0.1702,1.6731,1.7549,0.0818,0.000996
bind_076_binder,Binder,5600,3.0276,0.9699,3.8555,2.2598,-1.5958,-0.013287,3.1512,0.9262,3.4559,2.7505,-0.7054,-0.003406,1.9842,0.5875,1.8557,2.0978,0.2421,0.002659,1.2,0.2982,1.102,1.303,0.201,0.001529,1.6946,0.1592,1.7047,1.6812,-0.0235,8.9e-05
bind_080_binder,Binder,5600,1.4937,0.3365,1.4897,1.5072,0.0175,0.000463,1.5686,0.3741,1.5016,1.6365,0.1349,0.000985,4.6423,1.3922,4.1321,5.1107,0.9786,0.008962,2.4295,0.5156,2.3824,2.4426,0.0602,0.001408,1.7499,0.2292,1.6422,1.852,0.2098,0.002303
bind_083_binder,Binder,5600,1.7199,0.6228,1.8825,1.5522,-0.3303,-0.003234,1.5026,0.4942,1.5966,1.404,-0.1926,-0.000427,1.9397,0.6136,2.0771,1.7691,-0.308,-0.001161,1.5906,0.3954,1.5954,1.5685,-0.0268,0.001253,1.2864,0.1378,1.3063,1.2685,-0.0377,-0.000171
bind_088_binder,Binder,5600,2.8998,0.5121,3.0713,2.7374,-0.3339,-0.002826,3.2931,0.5353,3.0927,3.4808,0.3881,0.004059,2.3693,0.518,2.3614,2.4251,0.0637,0.000945,1.8174,0.3863,1.8818,1.7964,-0.0854,-0.000434,2.0274,0.2849,2.132,1.904,-0.228,-0.002666
bind_099_binder,Binder,5600,1.7949,0.6059,2.0714,1.5404,-0.531,-0.004063,1.2089,0.316,1.3054,1.1348,-0.1706,-0.001258,1.7277,0.7712,1.8801,1.6162,-0.264,-0.003408,1.552,0.383,1.5485,1.5473,-0.0012,0.000406,1.4565,0.2132,1.5762,1.3409,-0.2354,-0.00158
bind_100_binder,Binder,5600,1.9503,0.7111,2.3882,1.5814,-0.8068,-0.00529,2.0828,0.8734,2.8388,1.4074,-1.4314,-0.010155,1.809,0.7703,2.0003,1.6627,-0.3376,-0.001092,1.6828,0.4911,1.6082,1.7923,0.184,0.001721,1.5604,0.1726,1.6168,1.5187,-0.0981,-0.000409
bind_101_binder,Binder,5600,1.9241,0.5415,1.9777,1.8695,-0.1081,-0.001212,2.6284,0.8181,1.9961,3.2709,1.2748,0.010854,2.2922,0.6765,2.2522,2.342,0.0898,-0.000141,1.1082,0.267,1.1495,1.0619,-0.0876,-0.000266,1.4342,0.189,1.3401,1.5251,0.1851,0.001901
bind_102_binder,Binder,5600,6.5196,1.5371,6.0243,6.9354,0.9112,0.010561,3.1785,0.5618,3.0605,3.2877,0.2272,0.003375,2.9785,0.9871,2.8083,3.0549,0.2467,0.000713,2.1323,0.2653,2.1348,2.1485,0.0137,0.000199,2.3419,0.2592,2.2887,2.386,0.0972,0.001359
bind_110_binder,Binder,5600,2.0318,0.6286,2.128,1.9639,-0.164,-0.002557,2.1249,0.4706,2.0447,2.1875,0.1428,0.002245,1.6454,0.5646,1.7084,1.5753,-0.1331,-0.000804,1.2034,0.372,1.0779,1.3632,0.2853,0.001807,1.7289,0.2123,1.6704,1.792,0.1216,0.001884
pair_3061_binder,Binder,5600,1.634,0.4419,1.682,1.5796,-0.1024,-0.001455,2.2555,0.4366,2.1069,2.3963,0.2895,0.001682,1.7059,0.6247,1.521,1.9214,0.4003,0.003324,1.1329,0.2891,1.0286,1.2485,0.2199,0.000913,1.486,0.1863,1.4225,1.5468,0.1243,0.001366
nonb_006_nb,False Positive,5600,1.6046,0.7052,1.6043,1.6697,0.0654,0.001607,1.7147,0.4321,1.6068,1.8031,0.1964,0.002675,2.8158,0.6881,2.6338,2.9671,0.3333,0.001686,1.996,0.3892,1.9129,2.0688,0.1559,0.000226,1.8065,0.2463,1.7846,1.8377,0.053,-0.000107
nonb_008_nb,False Positive,5600,1.4723,0.3909,1.4698,1.4756,0.0059,0.000526,1.1583,0.3074,1.1146,1.1781,0.0635,0.000691,1.4903,0.4904,1.4577,1.5118,0.0542,0.000334,0.9245,0.2963,0.9514,0.9058,-0.0456,7.7e-05,1.2591,0.1355,1.2982,1.2194,-0.0788,-0.000407
nonb_009_nb,False Positive,5600,3.2068,0.7657,3.0361,3.3188,0.2828,0.003572,2.6315,0.6304,2.454,2.7153,0.2613,0.00222,3.1193,0.9963,2.7107,3.4323,0.7216,0.005753,1.9379,0.3035,1.9162,1.9308,0.0146,0.000767,1.8314,0.2131,1.7683,1.8549,0.0866,0.000636
nonb_010_nb,False Positive,5600,1.5597,0.4638,1.6913,1.4119,-0.2795,-0.002372,2.904,0.6824,2.4666,3.266,0.7994,0.006533,2.7377,0.5665,2.4806,2.9715,0.4909,0.004849,1.9001,0.4223,1.9962,1.8024,-0.1938,0.000437,1.8831,0.367,1.6563,2.1119,0.4556,0.004675
nonb_011_nb,False Positive,5600,2.2603,0.6842,2.3942,2.0438,-0.3504,-0.00334,2.0775,0.6567,1.9103,2.1923,0.2819,0.002603,1.7018,0.8067,1.8591,1.5995,-0.2596,-0.001397,1.6516,0.5297,1.8607,1.4114,-0.4492,-0.00271,1.4181,0.1699,1.4628,1.36,-0.1028,-0.000691
nonb_013_nb,False Positive,5600,2.6134,0.5651,2.8061,2.4521,-0.354,-0.004091,3.3161,0.4898,3.5052,3.1779,-0.3273,-0.002778,2.4718,0.8335,2.491,2.5073,0.0163,0.001124,2.1007,0.4898,1.8407,2.3693,0.5286,0.004447,2.0169,0.1305,2.0191,2.0152,-0.0038,6.1e-05
nonb_014_nb,False Positive,5600,2.9181,0.724,2.6637,3.1646,0.5009,0.003247,1.8954,0.2848,1.9242,1.8524,-0.0718,-0.001167,2.5459,0.9007,2.6083,2.379,-0.2293,-0.002584,1.4553,0.3875,1.3641,1.4764,0.1124,-5.4e-05,1.66,0.2906,1.6029,1.7059,0.103,5.7e-05
nonb_017_nb,False Positive,5600,1.3837,0.4466,1.2409,1.4981,0.2571,0.001226,2.4952,0.5315,2.2564,2.7535,0.4971,0.003524,2.4915,0.8073,2.8658,2.1708,-0.695,-0.005558,1.6582,0.4418,1.8873,1.4712,-0.416,-0.002938,1.5561,0.2004,1.5848,1.5392,-0.0456,-0.000386
nonb_018_nb,False Positive,5600,2.2409,0.8965,1.8913,2.5105,0.6192,0.005674,1.8466,0.4476,1.7165,1.9991,0.2825,0.002662,2.7924,0.8814,2.7282,2.887,0.1587,3e-05,1.2985,0.28,1.2501,1.3549,0.1049,0.000364,1.6375,0.1555,1.5799,1.6884,0.1085,0.000552
nonb_019_nb,False Positive,5600,2.9051,0.5328,3.0405,2.7603,-0.2802,-0.003298,2.5266,0.5282,2.7802,2.248,-0.5323,-0.00519,1.9473,0.4984,2.0418,1.8431,-0.1987,-0.002166,1.3653,0.3011,1.4971,1.2406,-0.2564,-0.002332,2.233,0.3371,2.0329,2.4156,0.3827,0.003597
nonb_021_nb,False Positive,5600,1.5987,0.8509,1.8212,1.4439,-0.3773,-0.0059,2.0288,0.4771,1.9706,2.1067,0.1361,-0.0001,2.7626,1.1776,3.3537,2.1377,-1.216,-0.006773,1.3993,0.346,1.4124,1.3895,-0.0229,-0.000424,1.537,0.1658,1.5941,1.4803,-0.1138,-0.00074
